jobClass,jobCompany,jobMoney,jobName,jobNeed,jobPlace,jobSpesk,jobType,jobUrl
数据挖掘,大圣live,12k-24k,数据挖掘,经验1-3年 / 本科,东风,"“鹅厂投资,大牛团队,优质项目,短视频互动”","移动互联网,游戏 / 不需要融资",
PHP,简知科技,8k-15k,PHP开发工程师,经验1-3年 / 大专,天河区,"“工作开心,活力氛围,发展空间大,福利好”","移动互联网,文化娱乐 / 天使轮",
数据挖掘,精点数据,7k-14k,数据挖掘工程师（珠海急聘）,经验1-3年 / 本科,石牌,"“五险一金,周末双休,不加班”","移动互联网,数据服务 / 不需要融资",
PHP,亚美,8k-15k,PHP开发工程师,经验1-3年 / 本科,五山,“五险一金 带薪年假 弹性工作 节日福利”,移动互联网 / 不需要融资,
PHP,Bigo,10k-20k,PHP开发工程师,经验1-3年 / 本科,番禺区,"“大牛多,技术氛围好,国际视野,发展空间”","移动互联网,社交网络 / C轮",
PHP,东怡源,10k-15k,PHP,经验3-5年 / 大专,南沙区,"“五险,员工旅游,定期体检,包吃包住”","移动互联网,电子商务 / 未融资",
数据挖掘,舜飞科技,25k-50k,算法工程师/数据挖掘,经验3-5年 / 本科,车陂,“免费午餐 周末双休 旅游 不打卡”,移动互联网 / 未融资,
数据挖掘,啦咔网络,18k-25k,数据挖掘工程师,经验1-3年 / 本科,沙河,"“人工智能,微信机器人”","移动互联网,社交网络 / 不需要融资",
数据挖掘,Edison Inc,15k-25k,数据挖掘工程师,经验1-3年 / 本科,龙凤,"“BAT薪酬,硅谷B轮,有期权,氛围好”","移动互联网,数据服务 / B轮",
PHP,移步到微,6k-12k,PHP工程师,经验1-3年 / 本科,沙东,"“技术大牛,项目奖金,晋升空间大”","移动互联网,企业服务 / A轮",
PHP,Offerslook,12k-18k,PHP,经验3-5年 / 本科,棠下,“BAT团队 海量数据挑战 股票期权 快速成长”,"移动互联网,广告营销 / 天使轮",
PHP,逗号智能零售,12k-15k,PHP开发工程师,经验3-5年 / 本科,珠江新城,"“五险一金,周末双休,餐饮补贴,CBD办公”","移动互联网,生活服务 / A轮",
数据挖掘,阿里文娱,15k-30k,UC事业群国际-数据挖掘专家,经验5-10年 / 本科,员村,“团队优秀、平台宽广、办公环境优美”,"文化娱乐,移动互联网 / 上市公司",
PHP,广州趣米网络,10K-15K,PHP研发开发工程师,经验3-5年 / 本科,元岗,“核心骨干股权激励，创业阶段机会多。”,"移动互联网,企业服务 / 天使轮",
数据挖掘,彩讯科技,10k-15k,数据挖掘,经验1-3年 / 本科,天河区,“美女特别多”,"移动互联网,生活服务 / 不需要融资",
PHP,集客网络,10k-15k,PHP开发工程师,经验3-5年 / 本科,黄石,"“扁平管理,带薪年假,年终分红,氛围融洽”",移动互联网 / 不需要融资,
PHP,广东道一,9k-15k,（高薪诚聘）PHP软件工程师,经验3-5年 / 大专,天河公园,"“五险一金,节日福利,项目奖励,环境优美”",移动互联网 / 上市公司,
数据挖掘,互动派科技股份有限公司,15k-20k,数据挖掘工程师,经验1-3年 / 本科,石牌,“五险一金 带薪年假 弹性上班 双休”,"移动互联网,广告营销 / 上市公司",
PHP,手趣,9k-12k,PHP开发工程师,经验1年以下 / 大专,五山,"“五险一金,带薪年假,周末双休,年度体检”",游戏 / 不需要融资,
PHP,飞礼科技,8k-12k,PHP开发工程师,经验3-5年 / 大专,琶洲,"“周末双休,团建活动,弹性工作,团队温暖”",移动互联网 / A轮,
数据挖掘,社群科技,15k-30k,数据挖掘工程师,经验3-5年 / 本科,大石,"“Hadoo,Spark,Spark,数据模型”","电子商务,移动互联网 / 天使轮",
数据挖掘,广东三维家信息科技有限公司,15k-30k,数据挖掘工程师,经验1-3年 / 本科,天河区,"“前景好,高福利,环境优雅,交通便利”","移动互联网,硬件 / A轮",
数据挖掘,荔枝,20k-35k,数据挖掘工程师（AI方向）,经验3-5年 / 本科,棠下,“技术大牛多，亿级用户，工作氛围自由开放！”,移动互联网 / D轮及以上,
PHP,名医传世,6k-10k,PHP工程师,经验1-3年 / 本科,岑村,“有爱的技术团队，双休+弹性上班~”,移动互联网 / B轮,
PHP,MAKA,7k-14k,PHP工程师,经验1-3年 / 本科,新港,"“周末双休,员工旅游,带薪年假,六险一金”","企业服务,移动互联网 / A轮",
PHP,经传多赢,10k-20k,PHP开发工程师,经验1-3年 / 不限,东环,"“试用期全薪,自驱自律,团队扁平化,成长机遇大”","移动互联网,金融 / 不需要融资",
数据挖掘,Bigo,15k-30k,数据挖掘工程师,经验1年以下 / 本科,大石,"“大牛多,扁平化管理,技术氛围好,待遇好”","移动互联网,社交网络 / C轮",
数据挖掘,灵机文化,20K-25K,数据挖掘,经验1-3年 / 本科,东圃,“30W无息贷款 出国旅游 期权分红”,"移动互联网,电子商务 / 不需要融资",
风控总监,云联国骥,18k-20k,风控主管,经验3-5年 / 本科,琶洲,"“五险一金,双休,福利补贴,带薪年假”",电子商务 / 不需要融资,
风控总监,菜鸟理财,20k-40k,风控总监,经验5-10年 / 本科,天河区,"“股份,年终分红,五险一金,旅游”",金融 / A轮,
风控总监,南都光原娱乐,6k-12k,风控经理/总监,经验3-5年 / 本科,越秀区,"“五险一金,年终奖,平台广”","文化娱乐,广告营销 / 天使轮",
风控总监,普益投,30k-50k,风控总监,经验5-10年 / 不限,体育中心,"“风控,风控,风控,风控”",金融 / 不需要融资,
风控总监,口袋零钱,15k-20k,金融产品风控总监,经验5-10年 / 本科,五山,“金融风控”,"移动互联网,金融 / 未融资",
风控总监,百倍科技,5k-8k,风控专员,经验1年以下 / 本科,琶洲,"“周末双休,五险一金,岗位培训,岗位补贴”","移动互联网,电子商务 / 不需要融资",
风控总监,新联在线,3k-5k,风控助理,经验1-3年 / 大专,珠江新城,"“五险一金,双休,晋升,调薪”",金融 / A轮,
风控总监,考拉理财,8k-15k,风控经理,经验3-5年 / 本科,客村,“双休，团队氛围好，扁平化管理，发展空间大”,金融 / A轮,
风控总监,i GO 我行,4k-6k,风控专员-广州,经验3-5年 / 大专,兴华,"“年审,违章,保险”",移动互联网 / 不需要融资,
风控总监,东元基金,10k-20k,风控负责人,经验3-5年 / 本科,天河区,"“舒适环境,弹性工作,待遇优厚”",金融 / 未融资,
风控总监,要出发,6k-10k,风控专员,经验1-3年 / 本科,棠下,“发展空间大，挑战性大”,"电子商务,生活服务 / D轮及以上",
风控总监,熊猫金库,3k-6k,风控专员/风控助理,经验不限 / 大专,萝岗区,"“社保完善,周末双休,绩效奖金,员工旅游”","移动互联网,金融 / 不需要融资",
风控总监,广州棒谷科技股份有限公司,4k-7k,经理助理（风控方向）,经验不限 / 本科,白云区,"“晋升空间大,绩效奖金多,优秀团队,带薪年假”",电子商务 / 不需要融资,
风控总监,辰岚广告,10k-20k,财务风控,经验3-5年 / 本科,石牌,"“团队建设,年底三薪,节日福利,六险一金”","广告营销,企业服务 / 不需要融资",
风控总监,红猫投资,8k-16k,合规风控主管,经验1-3年 / 本科,琶洲,"“周末双休,福利齐全,薪资丰厚,年终奖”",金融 / 未融资,
融资总监,TCL金融控股集团,15k-20k,外汇融资理财经理,经验3-5年 / 本科,岭南,“待遇佳福利好平台广”,金融 / 未融资,
投资总监,三七互娱,50k-70k,投资总监,经验5-10年 / 本科,天园,"“上市工资,绩效奖金,弹性工作,扁平管理”",游戏 / 上市公司,
投资总监,南都光原娱乐,6k-12k,投资经理/总监,经验3-5年 / 本科,越秀区,"“五险一金,年终奖,平台广”","文化娱乐,广告营销 / 天使轮",
投资总监,琢石投资,14k-24k,投资总监,经验不限 / 本科,石牌,"“迅速崛起,开放共享,专业专注”",金融 / 不需要融资,
投资总监,广州聚首啦网络科技有限公司,10k-20k,投资总监/合伙人,经验不限 / 本科,大石,“股权激励，万名华工校友在这里等你。”,"移动互联网,教育 / 天使轮",
